t(s),r(km),v(km/s)
905,11559.7,3.37235
906,11563.1,3.36937
907,11566.4,3.36639
908,11569.8,3.36341
909,11573.2,3.36043
910,11576.5,3.35746
911,11579.9,3.35448
912,11583.2,3.35151
913,11586.6,3.34854
914,11589.9,3.34557
915,11593.3,3.34261
916,11596.6,3.33964
917,11599.9,3.33668
918,11603.3,3.33372
919,11606.6,3.33076
920,11609.9,3.3278
921,11613.3,3.32484
922,11616.6,3.32189
923,11619.9,3.31894
924,11623.2,3.31599
925,11626.5,3.31304
926,11629.9,3.31009
927,11633.2,3.30714
928,11636.5,3.3042
929,11639.8,3.30126
930,11643.1,3.29831
931,11646.4,3.29538
932,11649.7,3.29244
933,11653,3.2895
934,11656.2,3.28657
935,11659.5,3.28363
936,11662.8,3.2807
937,11666.1,3.27777
938,11669.4,3.27485
939,11672.6,3.27192
940,11675.9,3.269
941,11679.2,3.26607
942,11682.4,3.26315
943,11685.7,3.26023
944,11689,3.25731
945,11692.2,3.2544
946,11695.5,3.25148
947,11698.7,3.24857
948,11702,3.24566
949,11705.2,3.24275
950,11708.5,3.23984
951,11711.7,3.23693
952,11714.9,3.23403
953,11718.2,3.23113
954,11721.4,3.22822
955,11724.6,3.22532
956,11727.8,3.22242
957,11731.1,3.21953
958,11734.3,3.21663
959,11737.5,3.21374
960,11740.7,3.21085
961,11743.9,3.20796
962,11747.1,3.20507
963,11750.3,3.20218
964,11753.5,3.19929
965,11756.7,3.19641
966,11759.9,3.19353
967,11763.1,3.19064
968,11766.3,3.18776
969,11769.5,3.18489
970,11772.7,3.18201
971,11775.9,3.17913
972,11779,3.17626
973,11782.2,3.17339
974,11785.4,3.17052
975,11788.5,3.16765
976,11791.7,3.16478
977,11794.9,3.16192
978,11798,3.15905
979,11801.2,3.15619
980,11804.3,3.15333
981,11807.5,3.15047
982,11810.6,3.14761
983,11813.8,3.14475
984,11816.9,3.1419
985,11820.1,3.13905
986,11823.2,3.13619
987,11826.4,3.13334
988,11829.5,3.13049
989,11832.6,3.12765
990,11835.7,3.1248
991,11838.9,3.12196
992,11842,3.11911
993,11845.1,3.11627
994,11848.2,3.11343
995,11851.3,3.11059
996,11854.4,3.10776
997,11857.5,3.10492
998,11860.6,3.10209
999,11863.7,3.09925
1000,11866.8,3.09642
1001,11869.9,3.09359
1002,11873,3.09077
1003,11876.1,3.08794
1004,11879.2,3.08511
1005,11882.3,3.08229
1006,11885.4,3.07947
1007,11888.4,3.07665
1008,11891.5,3.07383
1009,11894.6,3.07101
1010,11897.7,3.06819
1011,11900.7,3.06538
1012,11903.8,3.06257
1013,11906.9,3.05975
1014,11909.9,3.05694
1015,11913,3.05413
1016,11916,3.05133
