t,x,y,vx,vy
421,1.0551e+06,424535,1099.62,1086.94
422,1.0562e+06,425623,1101.72,1087.78
423,1.0573e+06,426711,1103.83,1088.64
424,1.05841e+06,427801,1105.95,1089.49
425,1.05952e+06,428891,1108.07,1090.35
426,1.06063e+06,429983,1110.2,1091.21
427,1.06174e+06,431075,1112.34,1092.08
428,1.06286e+06,432168,1114.48,1092.94
429,1.06397e+06,433261,1116.63,1093.82
430,1.06509e+06,434356,1118.78,1094.69
431,1.06621e+06,435452,1120.94,1095.57
432,1.06733e+06,436548,1123.1,1096.46
433,1.06846e+06,437645,1125.27,1097.35
434,1.06959e+06,438744,1127.45,1098.24
435,1.07072e+06,439843,1129.63,1099.13
436,1.07185e+06,440943,1131.81,1100.03
437,1.07298e+06,442044,1134.01,1100.93
438,1.07412e+06,443146,1136.2,1101.84
439,1.07526e+06,444248,1138.41,1102.75
440,1.0764e+06,445352,1140.62,1103.66
441,1.07754e+06,446457,1142.83,1104.58
442,1.07869e+06,447562,1145.05,1105.5
443,1.07983e+06,448669,1147.28,1106.42
444,1.08098e+06,449776,1149.51,1107.35
445,1.08213e+06,450884,1151.75,1108.28
446,1.08329e+06,451993,1153.99,1109.21
447,1.08444e+06,453104,1156.24,1110.15
448,1.0856e+06,454215,1158.5,1111.09
449,1.08676e+06,455327,1160.76,1112.04
450,1.08793e+06,456440,1163.02,1112.99
451,1.08909e+06,457554,1165.29,1113.94
452,1.09026e+06,458668,1167.57,1114.9
453,1.09143e+06,459784,1169.85,1115.86
454,1.0926e+06,460901,1172.14,1116.82
455,1.09378e+06,462019,1174.43,1117.79
456,1.09495e+06,463138,1176.73,1118.76
457,1.09613e+06,464257,1179.04,1119.73
458,1.09731e+06,465378,1181.34,1120.71
459,1.0985e+06,466500,1183.66,1121.69
460,1.09968e+06,467623,1185.98,1122.68
461,1.10087e+06,468746,1188.3,1123.67
462,1.10206e+06,469871,1190.64,1124.66
463,1.10326e+06,470996,1192.97,1125.66
464,1.10445e+06,472123,1195.31,1126.66
465,1.10565e+06,473251,1197.66,1127.66
466,1.10685e+06,474379,1200.01,1128.67
467,1.10805e+06,475509,1202.37,1129.68
468,1.10926e+06,476640,1204.73,1130.69
469,1.11046e+06,477772,1207.1,1131.71
470,1.11167e+06,478904,1209.47,1132.73
471,1.11288e+06,480038,1211.85,1133.75
472,1.1141e+06,481173,1214.23,1134.78
473,1.11531e+06,482309,1216.62,1135.81
474,1.11653e+06,483445,1219.02,1136.85
475,1.11775e+06,484583,1221.42,1137.89
476,1.11898e+06,485722,1223.82,1138.93
477,1.1202e+06,486862,1226.23,1139.97
478,1.12143e+06,488003,1228.64,1141.02
479,1.12266e+06,489145,1231.06,1142.08
480,1.1239e+06,490288,1233.49,1143.13
481,1.12513e+06,491433,1235.92,1144.19
482,1.12637e+06,492578,1238.35,1145.26
483,1.12761e+06,493724,1240.79,1146.32
484,1.12886e+06,494872,1243.24,1147.39
485,1.1301e+06,496020,1245.69,1148.47
486,1.13135e+06,497170,1248.14,1149.55
487,1.1326e+06,498320,1250.61,1150.63
488,1.13385e+06,499472,1253.07,1151.71
489,1.13511e+06,500625,1255.54,1152.8
490,1.13637e+06,501779,1258.02,1153.89
491,1.13763e+06,502934,1260.5,1154.99
492,1.13889e+06,504090,1262.98,1156.09
493,1.14016e+06,505247,1265.47,1157.19
494,1.14142e+06,506405,1267.97,1158.29
495,1.14269e+06,507565,1270.47,1159.4
496,1.14397e+06,508725,1272.97,1160.52
497,1.14524e+06,509887,1275.48,1161.63
498,1.14652e+06,511050,1278,1162.75
499,1.1478e+06,512213,1280.52,1163.88
500,1.14908e+06,513378,1283.04,1165
501,1.15037e+06,514545,1285.57,1166.13
502,1.15166e+06,515712,1288.11,1167.27
503,1.15295e+06,516880,1290.64,1168.4
504,1.15424e+06,518050,1293.19,1169.54
505,1.15554e+06,519220,1295.74,1170.69
506,1.15684e+06,520392,1298.29,1171.83
507,1.15814e+06,521565,1300.85,1172.98
508,1.15944e+06,522739,1303.41,1174.14
509,1.16075e+06,523915,1305.98,1175.3
510,1.16206e+06,525091,1308.55,1176.46
511,1.16337e+06,526269,1311.13,1177.62
512,1.16468e+06,527448,1313.71,1178.79
513,1.166e+06,528628,1316.3,1179.96
514,1.16732e+06,529809,1318.89,1181.14
515,1.16864e+06,530991,1321.49,1182.32
516,1.16996e+06,532175,1324.09,1183.5
517,1.17129e+06,533359,1326.69,1184.68
518,1.17262e+06,534545,1329.3,1185.87
519,1.17395e+06,535732,1331.92,1187.06
520,1.17528e+06,536920,1334.54,1188.26
521,1.17662e+06,538110,1337.16,1189.46
522,1.17796e+06,539300,1339.79,1190.66
523,1.1793e+06,540492,1342.42,1191.86
524,1.18065e+06,541685,1345.06,1193.07
525,1.182e+06,542880,1347.7,1194.29
526,1.18335e+06,544075,1350.35,1195.5
527,1.1847e+06,545272,1353,1196.72
528,1.18605e+06,546470,1355.65,1197.94
529,1.18741e+06,547669,1358.31,1199.17
530,1.18877e+06,548869,1360.98,1200.4
531,1.19014e+06,550071,1363.65,1201.63
532,1.1915e+06,551274,1366.32,1202.87
533,1.19287e+06,552478,1369,1204.1
534,1.19424e+06,553683,1371.68,1205.35
535,1.19562e+06,554890,1374.37,1206.59
536,1.197e+06,556098,1377.06,1207.84
537,1.19838e+06,557307,1379.76,1209.09
538,1.19976e+06,558517,1382.46,1210.35
539,1.20114e+06,559729,1385.16,1211.61
540,1.20253e+06,560942,1387.87,1212.87
541,1.20392e+06,562156,1390.59,1214.14
542,1.20531e+06,563371,1393.3,1215.41
543,1.20671e+06,564588,1396.03,1216.68
544,1.20811e+06,565806,1398.75,1217.95
545,1.20951e+06,567025,1401.48,1219.23
546,1.21092e+06,568246,1404.22,1220.52
547,1.21232e+06,569467,1406.96,1221.8
548,1.21373e+06,570691,1409.7,1223.09
549,1.21514e+06,571915,1412.45,1224.38
550,1.21656e+06,573141,1415.2,1225.68
551,1.21798e+06,574368,1417.96,1226.98
552,1.2194e+06,575596,1420.72,1228.28
553,1.22082e+06,576825,1423.49,1229.58
554,1.22225e+06,578056,1426.25,1230.89
555,1.22368e+06,579289,1429.03,1232.2
556,1.22511e+06,580522,1431.81,1233.52
557,1.22654e+06,581757,1434.59,1234.84
558,1.22798e+06,582993,1437.37,1236.16
559,1.22942e+06,584231,1440.16,1237.48
560,1.23086e+06,585469,1442.96,1238.81
561,1.23231e+06,586710,1445.76,1240.14
562,1.23376e+06,587951,1448.56,1241.48
563,1.23521e+06,589194,1451.37,1242.81
564,1.23666e+06,590438,1454.18,1244.16
565,1.23812e+06,591683,1456.99,1245.5
566,1.23958e+06,592930,1459.81,1246.85
567,1.24104e+06,594179,1462.64,1248.2
568,1.24251e+06,595428,1465.46,1249.55
569,1.24398e+06,596679,1468.29,1250.91
570,1.24545e+06,597931,1471.13,1252.27
571,1.24692e+06,599185,1473.97,1253.63
572,1.2484e+06,600440,1476.81,1255
573,1.24988e+06,601696,1479.66,1256.37
574,1.25136e+06,602954,1482.51,1257.74
575,1.25285e+06,604213,1485.37,1259.12
576,1.25433e+06,605474,1488.23,1260.49
577,1.25583e+06,606735,1491.09,1261.88
578,1.25732e+06,607999,1493.96,1263.26
579,1.25882e+06,609263,1496.83,1264.65
580,1.26032e+06,610529,1499.7,1266.04
581,1.26182e+06,611797,1502.58,1267.44
582,1.26332e+06,613066,1505.47,1268.83
583,1.26483e+06,614336,1508.35,1270.24
584,1.26634e+06,615608,1511.24,1271.64
585,1.26786e+06,616881,1514.14,1273.05
586,1.26938e+06,618155,1517.04,1274.46
587,1.2709e+06,619431,1519.94,1275.87
588,1.27242e+06,620708,1522.85,1277.29
589,1.27394e+06,621987,1525.76,1278.71
590,1.27547e+06,623267,1528.67,1280.13
591,1.277e+06,624549,1531.59,1281.56
592,1.27854e+06,625832,1534.51,1282.98
593,1.28008e+06,627116,1537.44,1284.42
594,1.28162e+06,628402,1540.36,1285.85
595,1.28316e+06,629689,1543.3,1287.29
596,1.28471e+06,630978,1546.23,1288.73
597,1.28625e+06,632268,1549.17,1290.17
598,1.28781e+06,633560,1552.12,1291.62
599,1.28936e+06,634853,1555.07,1293.07
600,1.29092e+06,636147,1558.02,1294.53
601,1.29248e+06,637443,1560.97,1295.98
602,1.29405e+06,638741,1563.93,1297.44
603,1.29561e+06,640040,1566.9,1298.9
604,1.29718e+06,641340,1569.86,1300.37
605,1.29875e+06,642642,1572.83,1301.84
606,1.30033e+06,643945,1575.81,1303.31
607,1.30191e+06,645250,1578.79,1304.78
608,1.30349e+06,646556,1581.77,1306.26
609,1.30508e+06,647864,1584.75,1307.74
610,1.30666e+06,649173,1587.74,1309.23
611,1.30825e+06,650484,1590.73,1310.71
612,1.30985e+06,651796,1593.73,1312.2
613,1.31144e+06,653110,1596.73,1313.69
614,1.31304e+06,654425,1599.73,1315.19
615,1.31465e+06,655742,1602.74,1316.69
616,1.31625e+06,657060,1605.75,1318.19
617,1.31786e+06,658380,1608.76,1319.69
618,1.31947e+06,659701,1611.78,1321.2
619,1.32109e+06,661023,1614.8,1322.71
620,1.32271e+06,662348,1617.82,1324.23
621,1.32433e+06,663673,1620.85,1325.74
622,1.32595e+06,665001,1623.88,1327.26
623,1.32758e+06,666329,1626.92,1328.78
624,1.32921e+06,667660,1629.95,1330.31
625,1.33084e+06,668992,1633,1331.84
626,1.33248e+06,670325,1636.04,1333.37
627,1.33412e+06,671660,1639.09,1334.9
628,1.33576e+06,672996,1642.14,1336.44
629,1.3374e+06,674334,1645.2,1337.98
630,1.33905e+06,675674,1648.26,1339.52
631,1.3407e+06,677015,1651.32,1341.06
632,1.34236e+06,678357,1654.38,1342.61
633,1.34401e+06,679702,1657.45,1344.16
634,1.34568e+06,681047,1660.53,1345.72
635,1.34734e+06,682395,1663.6,1347.27
636,1.34901e+06,683743,1666.68,1348.83
637,1.35068e+06,685094,1669.76,1350.39
638,1.35235e+06,686446,1672.85,1351.96
639,1.35402e+06,687799,1675.94,1353.53
640,1.3557e+06,689154,1679.03,1355.1
